Command issued:
C:\Users\ALAIN~1.VAN\Seafile\Programs\R\ahri\inst\intcens\unireg.exe --in C:\Users\alain.vandormael/Seafile/Programs/R/ahri_home/intcens/input_data.txt --out C:\Users\alain.vandormael/Seafile/Programs/R/ahri_home/intcens/res_dat.txt --model "(Time, sero_event) = Age0 + Age2 + EverCircum" --subject_id IIntID --sep   --max_itr 5000 --r 1 --inf_char Inf --convergence_threshold 0.01

Num Subjects: 1022
Num distinct time points: 888
Log-Likelihood at the final estimates: -445.206
###############################################################
Estimation of the Regression Parameters:

Covariate	Estimate	Std_Error	Z-Stat	P-value
Age0	0.076858365460352698	0.025263398411098592	3.0422813356174463	0.0023479233627050735
Age2	-0.0049081279261873577	0.0014511325234211198	-3.3822740838419039	0.00071888380297577053
EverCircum	0.078147437269742284	0.35072968009808669	0.22281386978110096	0.82368037282902296

Covariance Matrix for the Estimates:
		Age0	Age2	EverCircum
	Age0:	0.00063823929927789888	-3.1444398537769524e-005	0.00092353260280852295
	Age2:	-3.144439853776953e-005	2.1057856005305468e-006	-4.1504675897153758e-005
	EverCircum:	0.00092353260280852317	-4.1504675897153778e-005	0.12301130850170622

Estimation of the Cummulative Hazard Function:
Time	Estimate
123	0
148	2.854275185e-018
160	6.053201997e-012
178	4.129545427e-008
194	8.336065267e-008
214	1.214389509e-007
229	1.585801111e-007
242	1.935939312e-007
244	2.286314382e-007
253	2.636783945e-007
264	2.97737965e-007
267	3.314994611e-007
268	3.659721038e-007
270	4.009789937e-007
273	4.359208249e-007
277	4.712111354e-007
280	5.064428665e-007
281	1.639333388e-006
282	2.791464802e-006
290	3.927349883e-006
296	5.040347239e-006
298	6.160276817e-006
299	7.296694718e-006
301	8.439969433e-006
309	9.556988467e-006
313	1.067632936e-005
314	1.180874758e-005
321	1.290755503e-005
324	1.400574103e-005
325	1.511553343e-005
326	0.000890579496
328	0.001775302575
331	0.002664990346
332	0.003560511006
333	0.004470359033
334	0.005405966269
335	0.006343364993
339	0.007289728036
340	0.00826971158
342	0.008274962911
343	0.008280269047
345	0.008280269854
346	0.008280270677
348	0.008280271504
349	0.008280271504
350	0.008280271504
351	0.008280271504
352	0.008280271504
353	0.008280271504
354	0.008280271504
355	0.008280271504
356	0.008280271504
357	0.008280271504
358	0.008280271504
359	0.008280271504
360	0.008280271504
361	0.008280271504
362	0.008280271504
363	0.008280271504
364	0.008280271504
365	0.008280271504
366	0.008280271504
